composition,temperature,NComp,mean_Number,maxdiff_Number,dev_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,most_MendeleevNumber,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,maxdiff_Column,dev_Column,maxdiff_Row,dev_Row,mean_Electronegativity,maxdiff_NsValence,dev_NpValence,maxdiff_NdValence,dev_NdValence,max_NdValence,mean_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,min_NValance,most_NValance,mean_NpUnfilled,maxdiff_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,mean_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,min_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,most_GSbandgap,max_SpaceGroupNumber,CanFormIonic,thermal_conductivity
Sm0.5Eu0.5Gd0.5Yb0.5Ti0.5Sn0.5Hf0.5Zr0.5O7,298.0,9,25.22727273,64,22.21900826,8,8.0,70.18181818,64,22.29752066,87,87.0,2451.2,687.9712397,2506.0,13,5.396694215,4,1.619834711,2.686590909,0,1.73553719,10,1.194214876,10,2.181818182,0.0,7.590909091,14,4,6.0,1.454545455,4,2.0,1.5,9,2.454545455,1.0,3.954545455,16,2.847107438,0,16.30454545,27.355,9.163057851,9.105,9.105,0.0,229,1,1.45
Sm0.667Eu0.667Gd0.667TiSn0.333Hf0.333Zr0.333O7,298.0,8,23.45536364,64,19.93507438,8,8.0,68.93654545,64,23.65969312,87,87.0,2451.2,714.3348689,2506.0,13,5.53574286,4,1.54277686,2.683605,0,1.774181818,10,1.009584893,10,1.636545455,0.0,6.908818182,14,4,6.0,1.393818182,4,2.0,1.757363636,9,2.76928557,1.334,4.485181818,14,3.192334231,2,15.86236545,27.355,8.600283306,9.105,9.105,0.0,229,0,1.71
Sm0.667Eu0.667Gd0.667Ti1.5Sn0.167Hf0.167Zr0.167O7,298.0,8,22.00663516,64,17.82519521,8,8.0,68.32830394,64,24.11398757,87,87.0,2451.2,724.7673049,2506.0,13,5.665470501,4,1.465880127,2.683849755,0,1.812861379,10,0.826900439,10,1.425013634,0.0,6.546173423,14,4,6.0,1.333212143,4,2.0,1.879203781,9,2.904037692,1.333757499,4.546173423,14,3.256576063,2,15.43084348,27.355,8.049609958,9.105,9.105,0.0,229,0,1.9
Sm0.667Eu0.667Gd0.667Ti2O7,298.0,5,20.5493137,56,15.97040194,8,8.0,67.72338878,64,24.53163867,87,87.0,1886.2,734.3559028,1941.0,13,5.785576128,4,1.38864007,2.684409145,0,1.851365852,2,0.64277202,2,1.212617035,0.0,6.182074357,6,4,6.0,1.272611581,2,2.0,2.000090901,9,3.030407702,1.333878738,4.60658122,14,3.317165447,2,14.99641669,27.355,7.497485106,9.105,9.105,0.0,229,0,2.88
Sm0.5Eu0.5Gd0.5Yb0.5TiHf0.5Zr0.5O7,298.0,8,23.95454545,64,20.66115702,8,8.0,68.5,64,23.54545455,87,87.0,2451.2,763.3818182,2506.0,13,5.785123967,4,1.561983471,2.6675,0,1.851239669,2,0.632231405,2,2.181818182,0.0,7.136363636,14,4,6.0,1.272727273,2,2.0,1.863636364,9,2.880165289,1.0,4.136363636,16,3.095041322,0,15.55022727,27.355,8.203016529,9.105,9.105,0.0,229,1,1.36
Sm1.5Yb0.5TiZrO7,298.0,5,22.36363636,62,18.34710744,8,8.0,68.18181818,64,23.95041322,87,87.0,2073.2,742.0347107,2128.0,13,5.785123967,4,1.504132231,2.666818182,0,1.851239669,2,0.595041322,2,1.454545455,0.0,6.363636364,12,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,1.090909091,3.818181818,8,2.661157025,0,15.50227273,25.015,8.141983471,9.105,9.105,0.0,225,1,1.4
La0.4Ce0.4Nd0.4Sm0.4Eu0.4Zr2O7,298.0,7,23.27272727,55,19.43801653,8,8.0,66.81818182,74,25.68595041,87,87.0,2073.2,744.661157,2128.0,13,5.785123967,4,1.619834711,2.638727273,0,1.851239669,2,0.650578512,2,0.654545455,0.0,5.636363636,6,3,6.0,1.272727273,2,2.0,2.109090909,9,3.14446281,1.381818182,4.763636364,20,3.517355372,2,16.50727273,28.135,9.42107438,9.105,9.105,0.0,229,1,2.06
La0.286Ce0.286Pr0.286Nd0.286Sm0.286Eu0.286Gd0.286HfZrO7,298.0,10,26.26595165,64,23.24334876,8,8.0,67.05635339,74,25.37820874,87,87.0,2451.2,801.3021248,2506.0,13,5.78602803,4,1.735831541,2.636872387,0,1.851491958,2,0.653705276,2,2.00036357,0.0,6.986911471,15,3,6.0,1.27249591,2,2.0,2.156153427,9,3.192094802,1.455735321,4.884384657,20,3.670367679,2,16.32336621,28.135,9.185341473,9.105,9.105,0.0,229,0,1.97
La0.286Ce0.286Pr0.286Nd0.286Sm0.286Eu0.286Gd0.286Sn0.667Hf0.667Zr0.667O7,298.0,11,25.90493502,64,22.78188587,8,8.0,69.20630737,74,23.9489669,87,87.0,2451.2,670.1171575,2506.0,13,5.250432498,4,1.697355035,2.67585204,0,1.697355035,10,1.37175124,10,1.576479142,0.0,7.16913569,15,3,6.0,1.514859584,4,2.0,1.671725893,9,2.677374687,1.455603017,4.642188494,20,3.439727199,2,16.96575798,28.135,10.00187328,9.105,9.105,0.0,229,0,2.02
Y0.2Nd0.2Sm0.2Eu0.2Er0.2AlO3,298.0,7,19.08,60,15.728,8,8.0,71.36,75,19.424,87,87.0,1744.2,548.2728,1799.0,13,3.92,4,1.152,2.6242,0,1.68,1,0.0768,1,1.16,0.0,5.8,11,3,6.0,2.2,5,2.0,0.36,9,0.6912,1.08,3.64,8,2.0992,2,15.457,27.355,7.6224,9.105,9.105,0.0,229,1,4.1
YAlO3,298.0,3,15.2,31,9.52,8,8.0,69.2,75,22.88,87,87.0,1744.2,629.4888,1799.0,13,3.92,3,0.96,2.63,0,1.68,1,0.32,1,0.0,0.0,4.8,3,3,6.0,2.2,5,2.0,1.8,9,2.88,0.0,4.0,7,2.4,2,15.232,23.26,7.3524,9.105,9.105,0.0,225,1,11.7
NdAlO3,298.0,3,19.4,52,16.24,8,8.0,70.6,68,20.64,87,87.0,1239.2,508.2888,1294.0,13,3.92,4,1.2,2.614,0,1.68,0,0.0,0,0.8,0.0,5.4,3,3,6.0,2.2,5,2.0,0.0,0,0.0,2.0,4.2,8,2.64,2,15.721,25.705,7.9392,9.105,9.105,0.0,225,1,7.5
Al2O3,298.0,2,10.0,5,2.4,8,8.0,81.4,14,6.72,87,87.0,878.67,421.7616,933.47,3,1.44,1,0.48,2.708,0,1.44,0,0.0,0,0.0,0.0,4.8,3,3,6.0,3.2,3,2.0,0.0,0,0.0,0.0,3.2,3,1.44,2,12.055,7.375,3.54,9.105,9.105,0.0,225,1,8.0
Y2O3,298.0,2,20.4,31,14.88,8,8.0,57.0,75,36.0,87,87.0,1744.2,837.216,1799.0,13,6.24,3,1.44,2.552,0,1.92,1,0.48,1,0.0,0.0,4.8,3,3,6.0,1.2,2,2.0,3.6,9,4.32,0.0,4.8,7,3.36,2,18.409,23.26,11.1648,9.105,9.105,0.0,194,1,27.0
BaZr0.2Sn0.2Ti0.2Hf0.2Nb0.2O3,298.0,7,25.0,64,20.64,8,8.0,64.36,78,28.4192,87,87.0,2695.2,695.220096,2750.0,14,5.9328,4,1.68,2.5512,1,1.824,10,1.28,10,0.56,0.0,5.8,16,2,6.0,1.36,4,2.0,1.2,8,2.016,0.0,2.6,8,1.76,0,22.723,54.485,17.22952,9.105,9.105,0.0,229,1,0.58
Sc2SiO5,298.0,3,12.0,13,5.0,8,8.0,66.875,76,27.9375,87,87.0,1759.2,804.78125,1814.0,13,4.75,2,0.78125,2.7275,0,1.5625,1,0.375,1,0.0,0.0,5.0,3,3,6.0,1.75,4,2.0,2.25,9,3.375,0.0,4.0,7,2.5,2,13.804375,13.13,5.87421875,9.105,9.105,0.0,227,1,2.41
Y2SiO5,298.0,3,16.5,31,11.25,8,8.0,67.125,75,27.5625,87,87.0,1744.2,800.09375,1799.0,13,4.75,3,1.09375,2.6925,0,1.5625,1,0.375,1,0.0,0.0,5.0,3,3,6.0,1.75,4,2.0,2.25,9,3.375,0.0,4.0,7,2.5,2,16.336875,23.26,9.03984375,9.105,9.105,0.0,227,1,1.95
Nd2SiO5,298.0,3,21.75,52,19.125,8,8.0,68.875,68,24.9375,87,87.0,1632.2,642.28125,1687.0,13,4.75,4,1.4375,2.6725,0,1.5625,0,0.0,0,1.0,0.0,5.75,2,4,6.0,1.75,4,2.0,0.0,0,0.0,2.5,4.25,8,2.875,2,16.948125,25.705,9.80390625,9.105,9.105,0.0,227,1,2.26
Dy2SiO5,298.0,3,23.25,58,21.375,8,8.0,71.875,56,20.4375,87,87.0,1632.2,764.46875,1687.0,13,4.75,4,1.4375,2.6925,0,1.5625,0,0.0,0,2.5,0.0,7.25,8,4,6.0,1.75,4,2.0,0.0,0,0.0,1.0,2.75,2,0.9375,2,16.055625,22.135,8.68828125,9.105,9.105,0.0,227,1,1.02
Er2SiO5,298.0,3,23.75,60,22.125,8,8.0,72.875,52,18.9375,87,87.0,1715.2,791.03125,1770.0,13,4.75,4,1.4375,2.6975,0,1.5625,0,0.0,0,3.0,0.0,7.75,10,4,6.0,1.75,4,2.0,0.0,0,0.0,0.5,2.25,2,0.4375,2,15.891875,21.48,8.48359375,9.105,9.105,0.0,227,1,1.3
Yb2SiO5,298.0,3,24.25,62,22.875,8,8.0,73.875,48,17.4375,87,87.0,1632.2,579.15625,1687.0,13,4.75,4,1.4375,2.7025,0,1.5625,0,0.0,0,3.5,0.0,8.25,12,4,6.0,1.75,4,2.0,0.0,0,0.0,0.0,1.75,4,0.875,0,16.775625,25.015,9.58828125,9.105,9.105,0.0,227,1,1.23
YbYSiO5,298.0,4,20.375,62,17.0625,8,8.0,70.5,75,22.5,87,87.0,1744.2,689.625,1799.0,13,4.75,4,1.25,2.6975,0,1.5625,1,0.21875,1,1.75,0.0,6.625,13,3,6.0,1.75,4,2.0,1.125,9,1.96875,0.0,2.875,9,1.8125,0,16.55625,25.015,9.3140625,9.105,9.105,0.0,227,1,1.24
DyScSiO5,298.0,4,17.625,58,12.9375,8,8.0,69.375,76,24.1875,87,87.0,1759.2,784.625,1814.0,13,4.75,4,1.09375,2.71,0,1.5625,1,0.21875,1,1.25,0.0,6.125,9,3,6.0,1.75,4,2.0,1.125,9,1.96875,0.5,3.375,7,1.71875,2,14.93,22.135,7.28125,9.105,9.105,0.0,227,1,1.01
DyErSiO5,298.0,4,23.5,60,21.75,8,8.0,72.375,56,19.6875,87,87.0,1715.2,777.75,1770.0,13,4.75,4,1.4375,2.695,0,1.5625,0,0.0,0,2.75,0.0,7.5,10,4,6.0,1.75,4,2.0,0.0,0,0.0,0.75,2.5,2,0.75,2,15.97375,22.135,8.5859375,9.105,9.105,0.0,227,1,1.24
YbErSiO5,298.0,4,24.0,62,22.5,8,8.0,73.375,52,18.1875,87,87.0,1715.2,685.09375,1770.0,13,4.75,4,1.4375,2.7,0,1.5625,0,0.0,0,3.25,0.0,8.0,12,4,6.0,1.75,4,2.0,0.0,0,0.0,0.25,2.0,4,0.5,0,16.33375,25.015,9.0359375,9.105,9.105,0.0,227,1,1.08
Sc2Y2Dy2Er2Yb2SiO5,293.15,7,36.375,62,24.375,8,8.0,48.0625,76,28.078125,87,87.0,1759.2,692.4921875,1814.0,13,5.9375,4,1.5625,1.98125,0,1.71875,1,0.375,1,4.5,0.0,8.125,13,3,6.0,0.875,4,2.0,2.25,9,3.375,0.75,3.875,9,2.609375,0,22.9409375,25.015,9.1365625,9.105,9.105,0.0,227,0,0.93
Sc2Y2Dy2Er2Yb2SiO5,323.15,7,36.375,62,24.375,8,8.0,48.0625,76,28.078125,87,87.0,1759.2,692.4921875,1814.0,13,5.9375,4,1.5625,1.98125,0,1.71875,1,0.375,1,4.5,0.0,8.125,13,3,6.0,0.875,4,2.0,2.25,9,3.375,0.75,3.875,9,2.609375,0,22.9409375,25.015,9.1365625,9.105,9.105,0.0,227,0,0.9
Sc2Y2Dy2Er2Yb2SiO5,373.15,7,36.375,62,24.375,8,8.0,48.0625,76,28.078125,87,87.0,1759.2,692.4921875,1814.0,13,5.9375,4,1.5625,1.98125,0,1.71875,1,0.375,1,4.5,0.0,8.125,13,3,6.0,0.875,4,2.0,2.25,9,3.375,0.75,3.875,9,2.609375,0,22.9409375,25.015,9.1365625,9.105,9.105,0.0,227,0,0.88
Sc2Y2Dy2Er2Yb2SiO5,423.15,7,36.375,62,24.375,8,8.0,48.0625,76,28.078125,87,87.0,1759.2,692.4921875,1814.0,13,5.9375,4,1.5625,1.98125,0,1.71875,1,0.375,1,4.5,0.0,8.125,13,3,6.0,0.875,4,2.0,2.25,9,3.375,0.75,3.875,9,2.609375,0,22.9409375,25.015,9.1365625,9.105,9.105,0.0,227,0,0.87
Sc2Y2Dy2Er2Yb2SiO5,473.15,7,36.375,62,24.375,8,8.0,48.0625,76,28.078125,87,87.0,1759.2,692.4921875,1814.0,13,5.9375,4,1.5625,1.98125,0,1.71875,1,0.375,1,4.5,0.0,8.125,13,3,6.0,0.875,4,2.0,2.25,9,3.375,0.75,3.875,9,2.609375,0,22.9409375,25.015,9.1365625,9.105,9.105,0.0,227,0,0.85
Sc2Y2Dy2Er2Yb2SiO5,523.15,7,36.375,62,24.375,8,8.0,48.0625,76,28.078125,87,87.0,1759.2,692.4921875,1814.0,13,5.9375,4,1.5625,1.98125,0,1.71875,1,0.375,1,4.5,0.0,8.125,13,3,6.0,0.875,4,2.0,2.25,9,3.375,0.75,3.875,9,2.609375,0,22.9409375,25.015,9.1365625,9.105,9.105,0.0,227,0,0.84
Sc2Y2Dy2Er2Yb2SiO5,573.15,7,36.375,62,24.375,8,8.0,48.0625,76,28.078125,87,87.0,1759.2,692.4921875,1814.0,13,5.9375,4,1.5625,1.98125,0,1.71875,1,0.375,1,4.5,0.0,8.125,13,3,6.0,0.875,4,2.0,2.25,9,3.375,0.75,3.875,9,2.609375,0,22.9409375,25.015,9.1365625,9.105,9.105,0.0,227,0,0.76
Hf0.2Zr0.2Ti0.2Ta0.2Nb0.2B2,298.0,6,19.86666667,68,19.82222222,5,5.0,63.13333333,29,11.82222222,72,72.0,1349.0,176.9333333,3290.0,9,3.822222222,4,1.422222222,1.844666667,1,0.444444444,4,1.155555556,4,1.866666667,0.0,5.333333333,16,3,3.0,3.333333333,5,5.0,2.466666667,8,3.288888889,0.0,5.866666667,3,1.155555556,5,11.34066667,16.0225,5.557555556,7.1725,7.1725,1.524,229,0,24.8
Hf0.2Zr0.2Ti0.2Ta0.2Mo0.2B2,298.0,6,19.93333333,68,19.91111111,5,5.0,63.33333333,29,11.55555556,72,72.0,1349.0,192.5066667,3290.0,9,3.733333333,4,1.422222222,1.882,1,0.444444444,5,1.244444444,5,1.866666667,0.0,5.4,16,3,3.0,3.333333333,5,5.0,2.4,8,3.2,0.0,5.8,3,1.066666667,5,11.17466667,16.0225,5.336222222,7.1725,7.1725,1.524,229,0,15.2
Hf0.2Zr0.2Ti0.2Ta0.2Cr0.2B2,298.0,6,18.73333333,68,18.31111111,5,5.0,63.26666667,29,11.64444444,72,72.0,1349.0,141.2444444,3290.0,9,3.733333333,4,1.333333333,1.848666667,1,0.444444444,5,1.244444444,5,1.866666667,0.0,5.4,16,3,3.0,3.333333333,5,5.0,2.4,8,3.2,0.0,5.8,3,1.066666667,5,10.87466667,16.0225,4.936222222,7.1725,7.1725,1.524,229,0,12.6
TiB2,298.0,2,10.66666667,17,7.555555556,5,5.0,62.33333333,29,12.88888889,72,72.0,407.0,180.8888889,2348.0,9,4.0,2,0.888888889,1.873333333,0,0.444444444,2,0.888888889,2,0.0,0.0,3.333333333,1,3,3.0,3.333333333,5,5.0,2.666666667,8,3.555555556,0.0,6.0,3,1.333333333,5,10.345,9.5175,4.23,7.1725,7.1725,1.524,194,0,96.0
CrB2,298.0,2,11.33333333,19,8.444444444,5,5.0,64.33333333,23,10.22222222,72,72.0,168.0,74.66666667,2348.0,7,3.111111111,2,0.888888889,1.913333333,1,0.444444444,5,2.222222222,5,0.0,0.0,4.0,3,3,3.0,3.333333333,5,5.0,1.666666667,5,2.222222222,0.0,5.333333333,1,0.444444444,5,8.511666667,4.0175,1.785555556,7.1725,7.1725,1.524,229,0,22.3
HfB2,298.0,2,27.33333333,67,29.77777778,5,5.0,63.0,27,12.0,72,72.0,158.0,70.22222222,2506.0,9,4.0,4,1.777777778,1.793333333,0,0.444444444,2,0.888888889,2,4.666666667,0.0,8.0,15,3,3.0,3.333333333,5,5.0,2.666666667,8,3.555555556,0.0,6.0,3,1.333333333,5,12.18166667,15.0275,6.678888889,7.1725,7.1725,1.524,194,0,100.0
ZrB2,298.0,2,16.66666667,35,15.55555556,5,5.0,62.66666667,28,12.44444444,72,72.0,220.0,97.77777778,2348.0,9,4.0,3,1.333333333,1.803333333,0,0.444444444,2,0.888888889,2,0.0,0.0,3.333333333,1,3,3.0,3.333333333,5,5.0,2.666666667,8,3.555555556,0.0,6.0,3,1.333333333,5,12.51333333,16.0225,7.121111111,7.1725,7.1725,1.524,194,0,100.0
Dy0.2Ho0.2Er0.2Y0.2Yb0.23NbO7,298.0,7,17.84053156,62,15.25663808,8,8.0,76.09856035,75,16.90145681,87,87.0,2695.2,736.5827946,2750.0,13,4.187591748,4,1.188115412,2.98469546,1,1.394146986,4,0.806613614,4,1.087486157,0.0,6.542635659,13,3,6.0,1.550387597,2,2.0,0.863787375,9,1.497996711,0.199335548,2.724252492,9,1.293731121,0,12.7073385,25.015,5.585020932,9.105,9.105,0.0,229,0,0.724
Yb3NbO7,298.0,3,27.90909091,62,25.33884298,8,8.0,70.27272727,48,21.2892562,87,87.0,2695.2,671.861157,2750.0,13,5.785123967,4,1.73553719,2.678181818,1,1.851239669,4,0.661157025,4,3.818181818,0.0,8.636363636,11,5,6.0,1.272727273,2,2.0,0.545454545,6,0.991735537,0.0,1.909090909,7,1.041322314,0,16.75227273,25.015,9.732892562,9.105,9.105,0.0,229,1,1.18
Yb3NbO7,1273.15,3,27.90909091,62,25.33884298,8,8.0,70.27272727,48,21.2892562,87,87.0,2695.2,671.861157,2750.0,13,5.785123967,4,1.73553719,2.678181818,1,1.851239669,4,0.661157025,4,3.818181818,0.0,8.636363636,11,5,6.0,1.272727273,2,2.0,0.545454545,6,0.991735537,0.0,1.909090909,7,1.041322314,0,16.75227273,25.015,9.732892562,9.105,9.105,0.0,229,1,1.26
Dy0.75Ho0.75Er0.75Y0.75Yb0.75NbO7,298.0,7,28.04255319,62,23.88048891,8,8.0,65.40425532,75,25.73110005,87,87.0,2695.2,867.9569036,2750.0,13,6.058850158,4,1.749207786,2.579361702,1,1.926663649,4,0.68809416,4,3.0,0.0,7.70212766,13,3,6.0,1.191489362,2,2.0,1.085106383,9,1.846989588,0.574468085,2.936170213,9,1.60977818,0,17.12319149,25.015,9.55358986,9.105,9.105,0.0,229,0,0.862
Y0.5Yb0.5Er0.5Lu0.5Zr0.5Hf0.5O7,298.0,7,23.6,64,21.84,8,8.0,71.7,75,21.42,87,87.0,2451.2,763.154,2506.0,13,5.32,4,1.54,2.789,0,1.68,2,0.48,2,2.7,0.0,7.8,15,3,6.0,1.4,2,2.0,1.7,9,2.72,0.1,3.2,9,2.12,0,14.94,25.015,8.169,9.105,9.105,0.0,225,0,1.4
Yb2Zr2O7,298.0,3,25.09090909,62,21.75206612,8,8.0,70.45454545,48,21.05785124,87,87.0,2073.2,719.7619835,2128.0,13,5.785123967,4,1.619834711,2.66,0,1.851239669,2,0.595041322,2,2.545454545,0.0,7.454545455,12,4,6.0,1.272727273,2,2.0,1.454545455,8,2.380165289,0.0,2.727272727,8,1.917355372,0,16.215,25.015,9.049090909,9.105,9.105,0.0,225,1,1.97
Y2SiO5,298.0,3,16.5,31,11.25,8,8.0,67.125,75,27.5625,87,87.0,1744.2,800.09375,1799.0,13,4.75,3,1.09375,2.6925,0,1.5625,1,0.375,1,0.0,0.0,5.0,3,3,6.0,1.75,4,2.0,2.25,9,3.375,0.0,4.0,7,2.5,2,16.336875,23.26,9.03984375,9.105,9.105,0.0,227,1,3.5
Y2SiO5,500.0,3,16.5,31,11.25,8,8.0,67.125,75,27.5625,87,87.0,1744.2,800.09375,1799.0,13,4.75,3,1.09375,2.6925,0,1.5625,1,0.375,1,0.0,0.0,5.0,3,3,6.0,1.75,4,2.0,2.25,9,3.375,0.0,4.0,7,2.5,2,16.336875,23.26,9.03984375,9.105,9.105,0.0,227,1,2.6
Y2SiO5,700.0,3,16.5,31,11.25,8,8.0,67.125,75,27.5625,87,87.0,1744.2,800.09375,1799.0,13,4.75,3,1.09375,2.6925,0,1.5625,1,0.375,1,0.0,0.0,5.0,3,3,6.0,1.75,4,2.0,2.25,9,3.375,0.0,4.0,7,2.5,2,16.336875,23.26,9.03984375,9.105,9.105,0.0,227,1,2.1
Y2SiO5,900.0,3,16.5,31,11.25,8,8.0,67.125,75,27.5625,87,87.0,1744.2,800.09375,1799.0,13,4.75,3,1.09375,2.6925,0,1.5625,1,0.375,1,0.0,0.0,5.0,3,3,6.0,1.75,4,2.0,2.25,9,3.375,0.0,4.0,7,2.5,2,16.336875,23.26,9.03984375,9.105,9.105,0.0,227,1,1.9
Y2SiO5,1100.0,3,16.5,31,11.25,8,8.0,67.125,75,27.5625,87,87.0,1744.2,800.09375,1799.0,13,4.75,3,1.09375,2.6925,0,1.5625,1,0.375,1,0.0,0.0,5.0,3,3,6.0,1.75,4,2.0,2.25,9,3.375,0.0,4.0,7,2.5,2,16.336875,23.26,9.03984375,9.105,9.105,0.0,227,1,1.7
Y2SiO5,1300.0,3,16.5,31,11.25,8,8.0,67.125,75,27.5625,87,87.0,1744.2,800.09375,1799.0,13,4.75,3,1.09375,2.6925,0,1.5625,1,0.375,1,0.0,0.0,5.0,3,3,6.0,1.75,4,2.0,2.25,9,3.375,0.0,4.0,7,2.5,2,16.336875,23.26,9.03984375,9.105,9.105,0.0,227,1,1.6
Ho2SiO5,298.0,3,23.5,59,21.75,8,8.0,72.375,54,19.6875,87,87.0,1692.2,783.84375,1747.0,13,4.75,4,1.4375,2.695,0,1.5625,0,0.0,0,2.75,0.0,7.5,9,4,6.0,1.75,4,2.0,0.0,0,0.0,0.75,2.5,2,0.625,2,15.92895833,21.62833333,8.529947917,9.105,9.105,0.0,227,1,1.9
Ho2SiO5,500.0,3,23.5,59,21.75,8,8.0,72.375,54,19.6875,87,87.0,1692.2,783.84375,1747.0,13,4.75,4,1.4375,2.695,0,1.5625,0,0.0,0,2.75,0.0,7.5,9,4,6.0,1.75,4,2.0,0.0,0,0.0,0.75,2.5,2,0.625,2,15.92895833,21.62833333,8.529947917,9.105,9.105,0.0,227,1,1.55
Ho2SiO5,700.0,3,23.5,59,21.75,8,8.0,72.375,54,19.6875,87,87.0,1692.2,783.84375,1747.0,13,4.75,4,1.4375,2.695,0,1.5625,0,0.0,0,2.75,0.0,7.5,9,4,6.0,1.75,4,2.0,0.0,0,0.0,0.75,2.5,2,0.625,2,15.92895833,21.62833333,8.529947917,9.105,9.105,0.0,227,1,1.45
Ho2SiO5,900.0,3,23.5,59,21.75,8,8.0,72.375,54,19.6875,87,87.0,1692.2,783.84375,1747.0,13,4.75,4,1.4375,2.695,0,1.5625,0,0.0,0,2.75,0.0,7.5,9,4,6.0,1.75,4,2.0,0.0,0,0.0,0.75,2.5,2,0.625,2,15.92895833,21.62833333,8.529947917,9.105,9.105,0.0,227,1,1.4
Ho2SiO5,1100.0,3,23.5,59,21.75,8,8.0,72.375,54,19.6875,87,87.0,1692.2,783.84375,1747.0,13,4.75,4,1.4375,2.695,0,1.5625,0,0.0,0,2.75,0.0,7.5,9,4,6.0,1.75,4,2.0,0.0,0,0.0,0.75,2.5,2,0.625,2,15.92895833,21.62833333,8.529947917,9.105,9.105,0.0,227,1,1.35
Ho2SiO5,1300.0,3,23.5,59,21.75,8,8.0,72.375,54,19.6875,87,87.0,1692.2,783.84375,1747.0,13,4.75,4,1.4375,2.695,0,1.5625,0,0.0,0,2.75,0.0,7.5,9,4,6.0,1.75,4,2.0,0.0,0,0.0,0.75,2.5,2,0.625,2,15.92895833,21.62833333,8.529947917,9.105,9.105,0.0,227,1,1.35
Er2SiO5,298.0,3,23.75,60,22.125,8,8.0,72.875,52,18.9375,87,87.0,1715.2,791.03125,1770.0,13,4.75,4,1.4375,2.6975,0,1.5625,0,0.0,0,3.0,0.0,7.75,10,4,6.0,1.75,4,2.0,0.0,0,0.0,0.5,2.25,2,0.4375,2,15.891875,21.48,8.48359375,9.105,9.105,0.0,227,1,2.7
Er2SiO5,500.0,3,23.75,60,22.125,8,8.0,72.875,52,18.9375,87,87.0,1715.2,791.03125,1770.0,13,4.75,4,1.4375,2.6975,0,1.5625,0,0.0,0,3.0,0.0,7.75,10,4,6.0,1.75,4,2.0,0.0,0,0.0,0.5,2.25,2,0.4375,2,15.891875,21.48,8.48359375,9.105,9.105,0.0,227,1,2.2
Er2SiO5,700.0,3,23.75,60,22.125,8,8.0,72.875,52,18.9375,87,87.0,1715.2,791.03125,1770.0,13,4.75,4,1.4375,2.6975,0,1.5625,0,0.0,0,3.0,0.0,7.75,10,4,6.0,1.75,4,2.0,0.0,0,0.0,0.5,2.25,2,0.4375,2,15.891875,21.48,8.48359375,9.105,9.105,0.0,227,1,1.9
Er2SiO5,900.0,3,23.75,60,22.125,8,8.0,72.875,52,18.9375,87,87.0,1715.2,791.03125,1770.0,13,4.75,4,1.4375,2.6975,0,1.5625,0,0.0,0,3.0,0.0,7.75,10,4,6.0,1.75,4,2.0,0.0,0,0.0,0.5,2.25,2,0.4375,2,15.891875,21.48,8.48359375,9.105,9.105,0.0,227,1,1.7
Er2SiO5,1100.0,3,23.75,60,22.125,8,8.0,72.875,52,18.9375,87,87.0,1715.2,791.03125,1770.0,13,4.75,4,1.4375,2.6975,0,1.5625,0,0.0,0,3.0,0.0,7.75,10,4,6.0,1.75,4,2.0,0.0,0,0.0,0.5,2.25,2,0.4375,2,15.891875,21.48,8.48359375,9.105,9.105,0.0,227,1,1.55
Er2SiO5,1300.0,3,23.75,60,22.125,8,8.0,72.875,52,18.9375,87,87.0,1715.2,791.03125,1770.0,13,4.75,4,1.4375,2.6975,0,1.5625,0,0.0,0,3.0,0.0,7.75,10,4,6.0,1.75,4,2.0,0.0,0,0.0,0.5,2.25,2,0.4375,2,15.891875,21.48,8.48359375,9.105,9.105,0.0,227,1,0.14
Yb2SiO5,298.0,3,24.25,62,22.875,8,8.0,73.875,48,17.4375,87,87.0,1632.2,579.15625,1687.0,13,4.75,4,1.4375,2.7025,0,1.5625,0,0.0,0,3.5,0.0,8.25,12,4,6.0,1.75,4,2.0,0.0,0,0.0,0.0,1.75,4,0.875,0,16.775625,25.015,9.58828125,9.105,9.105,0.0,227,1,2.2
Yb2SiO5,500.0,3,24.25,62,22.875,8,8.0,73.875,48,17.4375,87,87.0,1632.2,579.15625,1687.0,13,4.75,4,1.4375,2.7025,0,1.5625,0,0.0,0,3.5,0.0,8.25,12,4,6.0,1.75,4,2.0,0.0,0,0.0,0.0,1.75,4,0.875,0,16.775625,25.015,9.58828125,9.105,9.105,0.0,227,1,2.0
Yb2SiO5,700.0,3,24.25,62,22.875,8,8.0,73.875,48,17.4375,87,87.0,1632.2,579.15625,1687.0,13,4.75,4,1.4375,2.7025,0,1.5625,0,0.0,0,3.5,0.0,8.25,12,4,6.0,1.75,4,2.0,0.0,0,0.0,0.0,1.75,4,0.875,0,16.775625,25.015,9.58828125,9.105,9.105,0.0,227,1,1.8
